t,demand
18,195,939.40
18,205,919
18,215,729.10
18,225,328.30
18,234,941.80
18,244,694.90
18,254,409.90
18,264,204
18,274,085.40
18,283,787
18,293,659.10
18,303,550.10
18,313,792.40
18,324,095.60
18,334,350.90
18,344,621
18,354,795.70
18,364,870.30
18,374,845.10
18,384,971.20
18,395,046.80
18,404,952.30
18,414,958.50
18,425,785.20
18,435,944.60
18,446,018.60
18,455,942.70
18,465,462.20
18,475,051.70
18,484,696.80
18,494,462.90
18,504,245.60
18,514,165
18,524,033.60
18,533,722.50
18,543,706
18,554,005.50
18,564,485.90
18,574,920.30
18,585,234.10
18,595,472.30
18,605,499.90
18,615,405.40
18,625,526.60
18,635,573.60
18,645,562.70
18,655,445.90
18,666,086.40
18,676,214.30
18,686,238.50
18,696,024.20
18,705,495.40
18,715,029.90
18,724,623.70
18,734,381.50
18,744,197.10
18,754,064.30
18,763,905.10
18,773,940.60
18,784,108
18,794,958.90
18,805,680.40
18,815,984.30
18,826,263.70
18,836,279.40
18,845,573.60
18,855,611.90
18,865,960.70
18,876,218.70
18,886,083.10
18,896,086.50
18,906,233.30
18,916,003
18,925,839.60
18,935,564.40
18,945,067.70
18,954,534.60
18,964,196.20
18,974,015.50
18,983,880.60
18,993,781.60
19,003,633
19,013,725.90
19,023,984.20
19,034,853.10
19,045,667.90
19,056,234.50
19,066,476.90
19,076,641.80
19,085,963.40
19,096,260
19,106,744.60
19,116,729.70
19,126,520.10
19,136,292.40
19,146,486.80
19,156,155.60
19,166,093.30
19,175,808.80
19,185,186.30
19,194,677.70
19,204,314.30
19,214,082.80
19,223,925.30
19,233,777.10
19,243,698.20
19,253,750.10
19,263,800.20
19,274,725.50
19,285,471.30
19,295,980
19,306,270
19,316,340.30
19,325,777
19,336,084.30
19,346,858.60
19,356,942.80
19,366,932.80
19,376,738.90
19,386,941.40
19,396,593.50
19,406,453.90
19,416,190
19,425,671.10
19,435,151.90
19,444,729
19,454,284.10
19,463,962.10
19,473,833.20
19,483,650.60
19,493,865.50
19,503,952.40
19,514,629.70
19,525,247.70
19,535,376.40
19,545,526.50
19,555,593.80
19,565,057.50
19,575,226.30
19,585,752.10
19,595,901.90
19,605,928.20
19,615,721.90
19,626,077
19,635,783.90
19,645,737.30
19,655,498.10
19,665,069.60
19,674,628.80
19,684,308
19,694,137.30
19,703,938.40
19,713,834.30
19,723,644.80
19,733,599.70
19,743,672.10
19,754,185
19,764,841.70
19,775,247.80
19,785,192.80
19,795,456.60
19,805,463.30
19,815,590.20
19,825,955.40
19,835,940.10
19,845,741.10
19,855,739
19,866,336.60
19,876,254.20
19,886,172.70
19,895,977.80
19,905,574.20
19,915,190.90
19,924,860.90
19,934,614.50
19,944,458.20
19,954,228.90
19,962,357.10
1997,0
19,982,689.30
19,994,206.70
20,004,501.80
20,014,804.20
20,025,063.80
20,035,218.30
20,045,232.40
20,055,101.20
20,065,035.90
20,074,983.80
20,084,965.60
20,095,131.90
20,105,737.50
20,115,751.80
20,125,778.30
20,135,550.90
20,145,120.40
20,154,738.20
20,164,463.20
20,173,966.40
20,183,874.60
20,193,955.80
20,203,734
20,213,765.30
20,223,940.80
20,234,718.30
20,245,477.30
20,255,898.80
20,266,208.50
20,276,291.80
20,285,853.70
20,296,014.40
20,306,682.80
20,316,857
20,326,590.70
20,336,374.70
20,346,777
20,356,527.40
20,366,346.60
20,376,061.60
20,385,592.50
20,395,064.30
20,404,672.50
20,414,427.20
20,424,272.40
20,434,160.60
20,443,841.10
20,453,841.10
20,464,007.30
20,474,611.90
20,485,238.40
20,495,445.90
20,505,516.90
20,515,452.30
20,525,071.90
20,535,137.40
20,545,758.40
20,556,041.40
20,565,963.90
20,575,895.30
20,586,274.50
20,596,029.20
20,605,964.90
20,615,788.70
20,625,297.30
20,634,787.40
20,644,421.30
20,654,208.60
20,664,058.20
20,673,969.60
20,683,780.80
20,693,711
20,703,848.40
20,714,492.50
20,725,282.90
20,735,722.40
20,746,040.80
20,756,200.40
20,765,659.40
20,775,684.20
20,786,298.40
20,796,271.40
20,806,015.60
20,816,018.20
20,826,385.30
20,836,053.10
20,845,833.20
20,855,481.20
20,864,893.90
20,874,472.80
20,884,185.50
20,893,954.80
20,903,805.20
20,913,701.30
20,923,521.60
20,933,342
20,943,362.60
20,953,657.70
20,963,973.70
20,974,238.40
20,984,521.50
20,994,717
21,004,617.60
21,014,329.60
21,024,329.60
21,034,317.60
21,044,405
21,054,561
21,065,400.40
21,075,457.50
21,085,450.70
21,095,182.80
21,104,772.80
21,114,538.10
21,124,231.60
21,134,020.50
21,143,878.30
21,153,684.70
21,163,556.90
21,173,442
21,183,386.50
21,193,588.30
21,203,678.80
21,213,781
21,223,881.30
21,234,060.70
21,244,098.90
21,254,062.60
21,264,067.90
21,274,136.20
21,284,081.90
21,294,231.30
21,304,972.90
21,314,966.90
21,325,067.50
21,334,778.50
21,344,326.30
21,353,982.50
21,363,750.60
21,373,780.30
21,383,679.30
21,393,535.80
21,403,352.70
21,413,310.40
21,423,328.90
21,433,841.80
21,444,503.90
21,454,881.70
21,465,105.90
21,475,262.20
21,484,952.20
21,494,948.40
21,505,226.50
21,515,450.90
21,525,318.40
21,535,462.20
21,546,050.70
21,555,760
21,565,498.10
21,575,356.90
21,585,009.50
21,594,644.40
21,604,363.10
21,614,148
21,623,983.20
21,633,806.20
21,643,630.70
21,653,507
21,663,395.10
21,673,649.40
21,683,935.30
21,694,204.80
21,704,293.70
21,714,307.10
21,724,463.30
21,734,488.90
21,744,639.40
21,754,651.90
21,764,520.40
21,774,640.30
21,785,429.60
21,795,494.60
21,805,621.80
21,815,372.20
21,824,899.60
21,834,471.70
21,844,141.20
21,853,932.30
21,863,795.40
21,873,679.20
21,883,537.30
21,893,627.60
21,903,843.10
21,914,810.10
21,925,788.30
21,936,295.60
21,946,618.40
21,956,748.50
21,966,139
21,976,244.90
21,986,698.20
21,997,061.70
22,006,949.30
22,016,532.10
22,026,766.20
22,036,476.90
22,046,276.20
22,056,095.70
22,065,526.80
22,074,875.30
22,084,432.90
22,094,182.90
22,104,046.90
22,113,960.90
22,123,778.20
22,133,798.50
22,143,866
22,154,672.10
22,165,188.90
22,175,508.10
22,185,593.10
22,195,574.80
22,204,750
22,214,639.30
22,225,212.60
22,235,677.30
22,245,706.80
22,255,572.60
22,265,877.30
22,275,670.80
22,285,502.10
22,295,188.60
22,304,694.60
22,314,213.30
22,323,879
22,333,666.50
22,343,535.40
22,353,404.90
22,363,329.70
22,373,461.80
22,383,665.60
22,394,305.40
22,405,100
22,415,542.40
22,425,703.30
22,435,879.60
22,445,344.90
22,455,437.30
22,466,103
22,476,399.50
22,486,352.70
22,496,101.90
22,506,332.90
22,516,025.10
22,525,847.70
22,535,599.80
22,545,098.70
22,554,549.20
22,564,157.60
22,573,921.90
22,583,793.90
22,593,689.80
22,603,572.40
22,613,650.20
22,623,875.70
22,634,660
22,645,420.40
22,655,883.80
22,666,299.20
22,676,328.30
22,685,785.40
22,696,012.40
22,706,567.90
22,716,559.60
22,726,667.80
22,736,438.70
22,746,725.40
22,756,378.30
22,766,182.60
22,775,920.40
22,785,391
22,794,870.60
22,804,466.30
22,814,225.90
22,824,032.40
22,833,893.30
22,843,772.40
22,853,892.70
22,863,061.70
22,874,723.10
22,885,470.20
22,895,742.30
22,905,925.30
22,916,051.40
22,925,376.30
22,935,586.50
22,946,363.10
22,956,714.90
22,966,592.70
22,976,272.50
22,986,576
22,996,224.10
23,006,056.20
23,015,842.10
23,025,230.20
23,034,769.70
23,044,434.60
23,054,203.30
23,063,984.50
23,073,731.80
23,083,584.30
23,093,532.10
23,103,505.90
23,113,953.20
23,124,480.50
23,134,827.10
23,144,897.10
23,154,863.50
23,164,675.80
23,174,536.20
23,184,646.80
23,194,751.40
23,204,762.20
23,214,895.50
23,225,581
23,235,461.30
23,245,432.60
23,255,168.10
23,264,780.60
23,274,426.50
23,284,138.90
23,293,965.70
23,303,820.30
23,313,674.80
23,323,489.30
23,333,352
23,342,980.40
23,353,525.90
23,364,006.30
23,374,369.80
23,384,736.70
23,394,883.10
23,404,908.40
23,414,923.80
23,425,009.70
23,435,061.10
23,445,015.20
23,455,102.50
23,465,879.50
23,475,898.10
23,485,863.10
23,495,529.10
23,505,234.90
23,514,755.30
23,524,334.30
23,534,054.30
23,543,918.90
23,553,833.10
23,563,696.10
23,573,731.60
23,583,853.70
23,594,675.10
23,605,468.20
23,615,658.50
23,625,912.50
23,635,987.50
23,645,351.60
23,655,580.10
23,666,365.90
23,676,637.20
23,686,555.70
23,696,303.40
23,706,557.50
23,716,300.10
23,726,232.30
23,736,013.10
23,745,498.20
23,754,933.20
23,764,564.20
23,774,283.20
23,784,116.40
23,793,946.40
23,803,855.40
23,813,917.90
23,824,068.60
23,834,905.20
23,845,736
23,856,078.30
23,866,355.60
23,876,533.70
23,885,958.30
23,896,215.60
23,907,025.30
23,917,123.20
23,927,086.80
23,936,843.40
23,947,223.10
23,956,919.60
23,966,732.90
23,976,485.40
23,985,904.90
23,995,329.40
24,004,868.80
24,014,570.10
24,024,375.90
24,034,231.10
24,044,076.60
24,054,076.10
24,064,319.60
24,075,221.10
24,086,214.80
24,096,554.80
24,106,716.20
24,116,545
24,125,863
24,136,192
24,146,868.20
24,156,509.20
24,166,344.30
24,176,347.10
24,186,414.60
24,196,147.30
24,205,931.60
24,215,585.30
24,225,107.60
24,234,617.60
24,244,270.60
24,254,052.60
24,263,939.80
24,273,826
24,283,638.50
24,293,700.30
24,303,985.10
24,314,649
24,325,118.10
24,335,405.80
24,345,560.70
24,355,644.80
24,365,095.90
24,375,200.60
24,385,810.50
24,395,906.80
24,406,023.50
24,415,986.90
24,426,266.10
24,435,967.30
24,445,699.30
24,455,339.30
24,464,897.60
24,474,402.60
24,484,086.70
24,493,857.90
24,503,750.90
24,513,656.70
24,523,541.20
24,533,237.50
24,543,065
24,553,828.30
24,565,058.80
24,575,296.40
24,585,702.70
24,595,974.60
24,605,288.50
24,615,479.10
24,626,584.40
24,636,855.30
24,646,672.60
24,656,345.70
24,666,638.60
24,676,422.90
24,686,153.10
24,695,892.40
24,705,462.60
24,714,937.70
24,724,618.20
24,734,366.10
24,744,005
24,753,753.80
24,763,652.80
24,773,598.20
24,783,540
24,793,964.30
24,804,650
24,815,029.40
24,825,249.60
24,835,257.10
24,845,007.60
24,854,877
24,865,127
24,875,185.80
24,885,022.70
24,895,186
24,905,760.20
24,915,634.20
24,925,557.80
24,935,341.20
24,945,024.20
24,954,594.30
24,964,352.10
24,974,141.50
24,983,958
24,993,733.40
25,003,632.80
25,013,454.70
25,022,024.90
25,032,110.30
25,043,106
25,053,998.40
25,064,134.80
25,074,353.90
25,084,414.80
25,094,544.70
25,104,614.80
25,114,615.90
25,124,547
25,134,943.20
25,145,567.70
25,155,537.60
25,165,615.30
25,175,359.60
25,184,911.80
25,194,504.40
25,204,181.30
25,213,964.90
25,223,829.90
25,233,722.90
25,243,570.50
25,253,615.70
25,263,836.40
25,274,696.50
25,285,484.80
25,295,823.30
25,305,973.30
25,315,953.80
25,325,398.90
25,335,695.60
25,346,279.50
25,356,015.70
25,365,872.20
25,375,935.60
25,386,073.40
25,395,878.20
25,405,830.40
25,415,553.90
25,425,002
25,434,489.30
25,444,100.90
25,453,889.70
25,463,780.90
25,473,695.90
25,483,545.10
25,493,626.10
25,503,747.20
25,514,468.60
25,525,169.50
25,535,491.40
25,545,705.10
25,555,874.10
25,565,436.50
25,575,701.70
25,586,356.70
25,596,417.20
25,606,415.50
25,616,225.40
25,626,446.90
25,636,240.20
25,646,007.60
25,655,744.40
25,665,266.30
25,674,703.30
25,684,323.80
25,694,101.20
25,703,950.20
25,713,803.90
25,723,759.70
25,733,711.90
25,743,985.10
25,754,584.20
25,765,321.70
25,775,723.60
25,785,962.80
25,796,289
25,805,493.60
25,815,464.10
25,825,917
25,835,514.60
25,845,492.70
25,855,644.70
25,865,928.80
25,875,719.20
25,885,554.10
25,895,292.50
25,904,799.50
25,914,277.90
25,923,949.60
25,933,740.20
25,943,598.80
25,953,511.90
25,963,470.90
25,973,567.90
25,983,578.60
25,994,226.80
26,005,096.50
26,015,433.80
26,025,685.60
26,035,851.20
26,045,308.60
26,055,561.90
26,066,213
26,076,382.70
26,086,327
26,096,095.90
26,106,388.30
26,116,117.80
26,125,953.90
26,135,667.80
26,145,203.20
26,154,646.30
26,164,270.10
26,173,999.90
26,183,888.50
26,193,775.50
26,203,642.30
26,213,744.70
26,224,022.10
26,234,582.80
26,245,078.90
26,254,999.90
26,264,924.90
26,274,765.20
26,284,344.90
26,294,270.90
26,304,723
26,315,021.60
26,325,157.70
26,335,258.30
26,345,492.60
26,355,255.30
26,365,012.10
26,374,776
26,384,355.30
26,393,881.80
26,403,583.40
26,413,422.60
26,423,339.10
26,433,292.30
26,443,240
26,453,156.40
26,463,294.10
26,473,647.10
26,484,192.80
26,494,553.80
26,504,824.40
26,514,966.60
26,524,882.60
26,535,046.10
26,545,326.50
26,555,386.90
26,565,251.50
26,575,471.60
26,585,452.20
26,595,400.30
26,605,330.50
26,615,224.50
26,624,850.60
26,634,472.80
26,644,129.50
26,653,970.60
26,663,844.20
26,673,647.60
26,683,431.50
26,693,299.80
26,703,242.60
26,713,540.40
26,723,955.40
26,734,245.30
26,744,378.90
26,754,414.70
26,764,410.10
26,774,406.90
26,784,480.80
26,794,593.10
26,804,522.30
26,814,705.20
26,825,366.80
26,835,436.30
26,845,577
26,855,365.30
26,864,916.70
26,874,508
26,884,203.70
26,893,961.50
26,903,849.70
26,913,760.40
26,923,573.80
26,933,664.40
26,943,799.60
26,954,485.30
26,965,321.40
26,975,683.90
26,986,130.20
26,996,323.20
27,005,761.10
27,015,897.40
27,025,994.20
27,036,250.90
27,046,098.30
27,056,021.70
27,066,223.70
27,076,043
27,085,960.80
27,095,654.10
27,105,200.20
27,114,663
27,124,298
27,134,063.10
27,143,932.60
27,153,709.20
27,163,576.10
27,173,623.10
27,183,839.10
27,194,479.20
27,205,366.80
27,215,710.10
27,225,976.20
27,235,896.60
27,245,140
27,255,407.30
27,266,144.80
27,276,283.50
27,286,115.10
27,296,120.60
27,306,074.70
27,315,837.70
27,325,681.40
27,335,394.60
27,344,875.80
27,354,377.70
27,364,030.50
27,373,848
27,383,754.10
27,393,580.10
27,403,472.50
27,413,465.30
27,423,726.70
27,434,433.20
27,445,198.60
27,455,519.90
27,465,718.90
27,475,672
27,484,840
27,494,601.10
27,504,761.40
27,514,962.50
27,524,981.40
27,535,218.70
27,545,592.20
27,555,316.60
27,565,117.80
27,574,908.60
27,584,495.70
27,594,100.80
27,603,797.70
27,613,615.60
27,623,463.80
27,633,384.20
27,643,297.50
27,653,369.30
27,663,629.30
27,674,164.40
27,684,876.70
27,695,284.10
27,705,431
27,715,495.70
27,724,965.30
27,735,309.50
27,746,170.60
27,756,348.50
27,766,367.80
27,776,197
27,786,354.70
27,796,041.80
27,805,910.40
27,815,682.20
27,825,145.10
27,834,623.80
27,844,221.50
27,853,970.70
27,863,784.70
27,873,636.70
27,883,580
27,893,622.60
27,903,872.80
27,914,449.30
27,925,268.80
27,935,656.70
27,945,860.80
27,956,058.50
27,965,586.70
27,975,744.40
27,986,409.90
27,996,499.10
28,006,134.40
28,016,145.90
28,026,340.80
28,036,048.10
28,045,887.50
28,055,642.80
28,065,192
28,074,738.50
28,084,350
28,094,095
28,103,990.40
28,113,841.30
28,123,601.10
28,133,529.50
28,143,585.50
28,153,980.70
28,164,544.60
28,174,972.10
28,185,181.20
28,195,342.10
28,205,239
28,215,282
28,225,337.40
28,235,134.60
28,245,032.10
28,255,297.30
28,265,807.40
28,275,641.50
28,285,523.10
28,295,380.20
28,305,068.10
28,314,669.20
28,324,346.50
28,334,132.80
28,343,979.50
28,353,855.70
28,363,734.40
28,373,621.20
28,383,560.50
28,393,783.20
28,404,050.70
28,414,299.30
28,424,483
28,434,666.40
28,444,769.80
28,454,814.60
28,464,948.80
28,474,926.60
28,484,833.10
28,494,935.60
28,505,601.90
28,515,756.30
28,525,900.60
28,535,626.70
28,545,148.20
28,554,716.50
28,564,354.20
28,574,156.80
28,584,015.60
28,593,781.20
28,603,681.40
28,613,729
28,623,833.20
28,634,504.20
28,645,377.40
28,655,638.50
28,665,693.60
28,675,772.60
28,685,221.90
28,695,310.40
28,705,871.70
28,715,861.70
28,725,906.60
28,735,940.90
28,746,162.70
28,755,882.80
28,765,806.80
28,775,614.30
28,785,218.30
28,794,692
28,804,308.60
28,814,006
28,823,928.40
28,833,838.10
28,843,641
28,853,517.90
28,863,480.70
28,873,705.10
28,884,070.50
28,894,307.40
28,904,446.80
28,914,570.60
28,924,593.80
28,934,537.10
28,944,512.40
28,954,533
28,964,537
28,974,826.20
28,985,497
28,995,559.70
29,005,649.30
29,015,378.20
29,024,953.30
29,034,522.80
29,044,197.40
29,053,987.70
29,063,863.70
29,073,782.30
29,083,638.40
29,093,655.10
29,103,915
29,114,615.20
29,125,400
29,135,872.50
29,146,017
29,156,125
29,165,619.30
29,175,660.30
29,186,115.30
29,196,298.70
29,206,185.10
29,216,068.20
29,226,266.90
29,236,059.30
29,246,002.60
29,255,733.60
29,265,239.30
29,274,671.10
29,284,285.50
29,294,037.40
29,303,884.60
29,313,759.70
29,323,554.20
29,333,605.30
29,343,893.90
29,354,769.10
29,365,531
29,375,852
29,386,030.10
29,396,008.80
29,405,481.80
29,415,788.10
29,426,610
29,436,814.50
29,446,745.30
29,456,615.60
29,466,762.50
29,476,445.10
29,486,282.20
29,496,022.60
29,505,609.10
29,515,056
29,524,566.30
29,534,267.30
29,544,093.80
29,554,025.30
29,563,866.90
29,573,843.60
29,584,082.80
29,594,791.40
29,605,689
29,616,211.30
29,626,535.60
29,636,746.30
29,646,016.90
29,656,321.30
29,666,999.60
29,676,812.50
29,686,536.30
29,696,379
29,706,568.50
29,716,301.20
29,726,220.30
29,736,041.80
29,745,526.20
29,755,049.50
29,764,663.80
29,774,439.70
29,784,253.30
29,794,064
29,803,797.10
29,813,694.60
29,823,556.50
29,833,932.90
29,844,532.90
29,854,870.70
29,865,070.10
29,875,221.80
29,883,852.20
29,894,968.30
29,905,326.60
29,915,249.30
29,925,240.30
29,935,548.60
29,946,027.20
29,955,905.20
29,965,854.40
29,975,632.40
29,985,199.90
29,994,803.20
30,004,490
30,014,274
30,024,138.70
30,033,994.70
30,043,720.20
30,053,652.50
30,063,513.50
30,073,648.90
30,083,931.70
30,094,164.20
30,104,245.70
30,114,213.70
30,124,144.10
30,134,112.90
30,144,101
30,154,091.30
30,164,073.10
30,174,359.90
30,185,012.40
30,194,997.10
30,205,042.60
30,214,795.40
30,224,329.10
30,233,926.60
30,243,709
30,253,521.60
30,263,434.80
30,273,451
30,283,369
30,293,428
30,303,543
30,314,377.70
30,325,238.80
30,335,586.30
30,345,897
30,355,992.60
30,365,286.80
30,375,422.10
30,386,260.70
30,396,401.70
30,406,181.20
30,416,045.80
30,426,229.60
30,435,992.10
30,445,867.50
30,455,646.50
30,465,206.90
30,474,691.10
30,484,209.50
30,493,904.50
30,503,723.10
30,513,620.90
30,523,501.20
30,533,615.90
30,543,683.30
30,554,173.90
30,564,913.90
30,575,311.80
30,585,512.50
30,595,505.90
30,604,931.40
30,615,091.40
30,625,463.10
30,635,561
30,645,466.30
30,655,523.20
30,665,817.80
30,675,557.50
30,685,403.90
30,695,184.70
30,704,734.20
30,714,269.10
30,723,883.80
30,733,694
30,743,569.60
30,753,459.70
30,763,402
30,773,488
30,783,756.80
30,794,571
30,805,396.70
30,815,546.70
30,825,517.60
30,835,475.10
30,845,045.40
30,855,320.70
30,866,179.70
30,876,318.80
30,886,275.50
30,896,163
30,906,378.90
30,916,080.30
30,925,904.10
30,935,596.70
30,945,081.20
30,954,523.80
30,964,061.20
30,973,792.80
30,983,645.50
30,993,530.40
31,003,491.50
31,013,466.10
31,023,754.90
31,034,536.30
31,045,387.80
31,055,827.30
31,066,104.10
31,076,289.40
31,085,597.50
31,095,486.10
31,105,879.50
31,115,923.10
31,125,907.40
31,135,827.90
31,146,063.60
31,155,844.70
31,165,624.70
31,175,388.10
31,184,936.40
31,194,410.30
31,204,021.50
31,213,751.10
31,223,628.70
31,233,592.30
31,243,538.40
31,253,536.40
31,263,806.60
31,274,678
31,285,663.40
31,296,115.20
31,306,400.80
31,316,563
31,325,934
31,335,846.90
31,345,935.60
31,355,979.10
31,365,990.40
31,376,098.40
31,386,343.80
31,396,016.60
31,405,811.60
31,415,604.30
31,425,213.50
31,434,748.90
31,444,358
31,454,093.40
31,463,946.60
31,473,796.20
31,483,605.10
31,493,522.40
31,503,573.70
31,514,059.20
31,524,800
31,535,258.10
31,545,489.60
31,555,816.10
31,565,419.10
31,575,309.70
31,585,560.20
31,595,704.80
31,605,386.20
31,615,708.90
31,626,015.50
31,635,807.20
31,645,720.80
31,655,491.20
31,665,144.20
31,674,740
31,684,451.90
31,694,255
31,704,086.40
31,713,884.10
31,723,651.70
31,733,461.70
31,743,379.80
31,753,645.20
31,764,007.90
31,774,284.80
31,784,392.10
31,794,557.60
31,804,242.40
31,814,013.10
31,824,019.80
31,834,024.10
31,844,048.80
31,854,495.40
31,865,086.20
31,875,076.60
31,885,065.10
31,894,838.40
31,904,522.70
31,914,226.50
31,923,929.30
31,933,756.20
31,943,618.80
31,953,534.90
31,963,433.60
3197,65.6
3,198,143.90
31,993,254.70
32,004,195
32,014,487.90
32,024,698.70
32,034,850.90
32,044,850.10
32,054,875.90
32,064,908.90
32,074,983.90
32,084,908.80
32,095,133.10
32,105,805.40
32,115,720.30
32,125,609.30
32,135,289.40
32,144,799
32,154,365.50
32,164,011.20
32,173,836.10
32,183,739
32,193,650.70
32,203,612.40
32,213,629.60
32,223,721.70
32,234,478.10
32,245,332.90
32,255,731.30
32,265,989.80
32,275,964.60
32,285,401
32,295,464.90
32,306,090.30
32,316,258.60
32,326,046.60
32,336,039.70
32,346,123.50
32,355,837.20
32,365,682.50
32,375,519.20
32,385,091.50
32,394,540.70
32,404,103.10
32,413,862.80
32,423,748.40
32,433,632.40
32,443,527.30
32,453,493.90
32,463,749.10
32,474,551.80
32,485,378.80
32,495,768.50
32,505,958.10
32,516,143.70
32,525,275.20
32,535,246.60
32,545,626.10
32,555,980.30
32,565,892.60
32,575,939.40
32,586,120.30
32,595,847.20
32,605,761.70
32,615,468
32,625,007.90
32,634,500.30
32,644,070.60
32,653,836.10
32,663,693.40
32,673,523.70
32,683,459.70
32,693,581.90
32,703,770.40
32,714,355.50
32,724,987.10
32,735,102.40
32,745,197
32,755,226.10
32,764,710.70
32,774,924
32,785,640.90
32,795,880.70
32,805,815.10
32,815,796.90
32,826,089.30
32,835,875.50
32,845,754.30
32,855,404.50
32,864,957
32,874,432.80
32,884,025.80
32,893,800.10
32,903,631.30
32,913,467.70
32,923,392.80
32,933,433.80
32,943,719.30
32,954,451
32,965,333.20
32,975,497.30
32,985,488.50
32,995,541.40
33,005,031.20
33,015,218.10
33,025,495.60
33,035,752.30
33,045,970.60
33,056,040.30
33,066,184.80
33,075,958.10
33,085,718.70
33,095,394.30
33,104,986.40
33,114,549.70
33,124,208.20
33,133,979.10
33,143,826
33,153,688.80
33,163,541.50
33,173,465.80
33,183,545.10
33,194,015.80
33,204,813.20
33,215,285.90
33,225,619.30
33,235,576.70
33,245,209
33,254,953.80
33,265,056.50
33,275,121.50
33,285,048.10
33,295,368.80
33,305,852.50
33,315,674.70
33,325,456.10
33,335,389.70
33,345,077.50
33,354,729.30
33,364,433.50
33,374,210.20
33,384,013.60
33,393,909.10
33,403,673.40
33,413,422.10
33,423,353.20
33,433,709.30
33,444,093.60
33,454,324.20
33,464,540.80
33,474,725.30
33,484,655.30
33,494,353.90
33,504,347.60
33,514,392.90
33,524,513.50
33,534,780.40
33,545,431.40
33,555,435.50
33,565,376.60
33,575,307.40
33,584,872
33,594,399.60
33,604,095.50
33,613,878.10
33,623,773.20
33,633,723.70
33,643,497.60
33,653,561.10
33,663,683.50
33,674,205.20
33,684,819.90
33,694,912.10
33,705,012.40
33,715,084.10
33,724,655
33,734,750.40
33,745,235
33,755,353
33,765,321
33,775,420.20
33,785,588.80
33,795,412
33,805,161.40
33,815,045.40
33,824,633.20
33,834,146.40
33,843,744.80
33,853,565.40
33,863,443.30
33,873,356.90
33,883,207.20
33,893,273.30
33,903,567.60
33,914,323.40
33,925,161.20
33,932,935.30
33,945,670.50
33,955,800.20
33,965,314.50
33,975,604.40
33,986,380.70
33,996,346.40
34,006,171
34,016,123.40
34,026,322.10
34,036,006.60
34,045,848.20
34,055,683
34,065,190.60
34,074,624.70
34,084,219.60
34,093,994.70
34,103,814.40
34,113,683.60
34,123,608.30
34,133,645.30
34,143,871
34,154,467.80
34,165,052.20
34,175,331.60
34,185,481.50
34,195,600.60
34,205,009.20
34,215,289
34,225,805.30
34,235,755.40
34,245,670.90
34,255,766.40
34,266,073.40
34,275,830.50
34,285,528.30
34,295,371.10
34,304,880.30
34,314,366.30
34,323,949.10
34,333,744
34,343,608.10
34,353,382.10
34,363,377.70
34,373,472.60
34,383,772.30
34,394,404
34,405,084.30
34,414,844.10
34,424,846
34,434,855.90
34,444,448
34,454,857.30
34,465,793.60
34,475,928.50
34,485,820.50
34,495,853.10
34,506,168.60
34,515,914.30
34,525,732.80
34,535,617.60
34,545,100.70
34,554,358.60
34,564,156.80
34,573,931.30
34,583,782.20
34,593,650.30
34,603,462.40
34,613,458.40
34,623,681.60
34,634,448.70
34,645,188.80
34,655,493
34,665,820.20
34,675,898.60
34,685,256.40
34,695,503
34,706,366
34,716,282.40
34,725,938.60
34,735,861.10
34,746,103.30
34,755,839.10
34,765,528.60
34,775,471.80
34,784,992.10
34,794,552.90
34,804,213.80
34,814,007.80
34,823,856.10
34,833,697.60
34,843,532.20
34,853,393.70
34,863,446.50
34,873,909
34,884,531.20
34,894,870.40
34,904,997.40
34,915,142.30
34,924,918.80
34,934,873.80
34,945,150
34,955,352.10
34,965,235.30
34,975,394.90
34,985,802.60
34,995,629.20
35,005,404
35,014,574.40
35,024,791.90
35,034,386.10
35,044,088
35,053,908
35,063,755.50
35,073,536.90
35,083,452.50
35,093,351.10
35,103,380.60
35,113,735.90
35,124,064.50
35,134,343.70
35,144,453.70
35,154,637.10
35,164,723.40
35,174,828.20
35,184,859.50
35,194,883.70
35,204,893.10
35,215,111.50
35,225,677.30
35,235,703.80
35,245,562.80
35,255,451.20
35,265,021.40
35,274,556.80
35,284,221.40
35,293,976.50
35,303,837.20
35,313,750.90
35,323,569.90
35,333,604.30
35,343,772.60
35,354,589.90
35,365,628
35,375,801.80
35,386,287
35,396,402
35,405,802.90
35,416,063.90
35,426,568.90
35,436,151.10
35,445,695.60
35,455,955.60
35,466,112.80
35,475,802.40
35,485,619.30
35,495,509.40
35,504,964.60
35,514,425.30
35,524,040.30
35,533,845.90
35,543,695.20
35,553,569.30
35,563,561.90
35,573,592.50
35,583,815.30
35,594,530.10
35,605,154
35,615,471
35,625,798.30
35,635,812.20
35,645,274.60
35,655,604.10
35,666,311.30
35,676,210.80
35,686,100.40
35,696,187.90
35,706,381.60
35,716,167.40
35,725,853.60
35,735,769.80
35,745,112.20
35,754,567.30
35,764,144.70
35,773,943.60
35,783,845.20
35,793,817.80
35,803,738.50
35,813,791.50
35,824,005.20
35,834,847.20
35,845,572.80
35,855,495.30
35,865,748.70
35,875,901.70
35,885,379.60
35,895,906.20
35,906,692.40
35,916,905.90
35,926,753.80
35,936,576.80
35,946,758.60
35,956,369.10
35,966,053.50
35,975,862.70
35,985,339.50
35,994,725.10
36,004,305.10
36,014,047.20
36,023,913.90
36,033,740.40
36,043,658.50
36,053,514.90
36,063,896.30
36,074,784.20
36,085,573.30
